Country,Country Code,Year,Male-Female ratio,Total suicide rate
Croatia,HRV,1990,3.0741765969999997,19.85799
Croatia,HRV,1989,2.765640887,18.28827
Croatia,HRV,1988,2.777407675,20.06863
Croatia,HRV,1987,2.998019909,20.367379999999997
Croatia,HRV,1986,3.160496747,18.90348
Croatia,HRV,1993,3.1650376239999995,19.385279999999998
Croatia,HRV,1994,3.418841898,19.0867
Croatia,HRV,1995,3.5294729289999998,16.5339
Croatia,HRV,1996,3.563932753,19.20495
Croatia,HRV,2004,3.37384878,14.6266
Croatia,HRV,2003,4.58061231,14.94755
Croatia,HRV,2002,3.614649285,15.20331
Croatia,HRV,2000,4.0042466580000005,18.022920000000003
Croatia,HRV,2001,3.867379735,15.582070000000002
Croatia,HRV,1999,3.528210379,18.57795
Croatia,HRV,1998,3.3870630680000002,19.31718
Croatia,HRV,1997,3.4581628810000002,17.57784
Cuba,CUB,1992,1.4108397819999998,20.67097
Cuba,CUB,1974,1.5816620630000002,21.26069
Cuba,CUB,1973,1.8868527830000001,19.447589999999998
Cuba,CUB,1972,1.471725362,17.42713
Cuba,CUB,1968,1.6177666880000001,13.98158
Cuba,CUB,1970,1.53319428,14.18285
Cuba,CUB,1969,1.260117164,12.12626
Cuba,CUB,1964,1.8350748159999999,12.48559
Cuba,CUB,1977,1.299799441,21.30074
Cuba,CUB,1976,1.4377022959999999,21.284470000000002
Cuba,CUB,1971,1.63594378,16.16134
Cuba,CUB,1975,1.60403549,20.65146
Cuba,CUB,2003,3.0630154189999996,11.48033
Cuba,CUB,1994,1.72982865,19.94513
Cuba,CUB,2004,3.117771945,11.55148
Cuba,CUB,1993,1.469058067,21.143720000000002
Cuba,CUB,2001,2.653513123,13.03323
Cuba,CUB,2000,2.4610339569999997,14.735420000000001
